,Unnamed: 0,Motohours total,Motohours idle,Motohours 900rpm stop,Motohours driving,Motohours >26t,Distance [km],Distance >26t [km],Fuel consumed [dm3],Fuel consumption per distance [dm3/100km],Hourly fuel consumption [dm3/h],Hydraulic energy [GJ],Compaction hydraulic energy [GJ],Hydraulic oil [m3],Hydraulic oil >120 bar [m3],Max overload >26t [t],Waste mass [t],Waste mass x kilometers [t*km],Vehicle overload x kilometers [t*km],Body capacity used [%],Hydraulic energy per 1 t of waste [GJ/t],Compaction hydraulic energy per 1 t of waste [GJ/t],Average power of hydraulic system during body operation [kW],Total # of press cycles,Total # of press cycles - low forces,Total # of press cycles - medium forces,Total # of press cycles - high forces,dzien,Waste mass [t] cumulative,Total # of press cycles cumulative,Total # of press cycles low forces cumulative,Total # of press cycles medium forces cumulative,Total # of press cycles high forces cumulative
0,Selected day,5.4,0.8,1.3,3.0,2.7,102.3,49.1,45.0,44.0,8.4,70.4,34.9,27.4,0.6,7.2,18.1,762.4,207.7,57.0,3.9,1.9,7.1,628.0,151.0,338.0,140.0,2021-08-16,18.1,628.0,151.0,338.0,140.0
1,Selected day,5.9,0.8,1.9,2.7,3.0,50.0,18.8,35.0,70.1,6.0,92.5,54.9,27.6,1.4,5.2,16.1,231.8,28.6,41.3,5.7,3.4,7.6,810.0,153.0,423.0,235.0,2021-08-17,34.2,1438.0,304.0,761.0,375.0
2,Selected day,6.0,1.3,1.9,2.4,2.0,36.4,15.8,32.0,88.0,5.3,86.0,51.5,26.5,1.3,3.1,14.0,230.9,12.0,34.6,6.1,3.7,7.4,744.0,156.0,389.0,200.0,2021-08-18,48.2,2182.0,460.0,1150.0,575.0
3,Selected day,5.6,2.3,0.9,2.2,0.0,46.7,0.1,24.0,51.3,4.3,40.1,24.4,22.8,0.7,0.0,6.5,67.5,0.0,30.7,6.2,3.8,7.4,340.0,56.0,128.0,157.0,2021-08-19,54.7,2522.0,516.0,1278.0,732.0
4,Selected day,6.3,2.0,1.1,2.8,1.3,49.0,16.1,35.0,71.4,5.6,49.2,23.6,25.8,1.0,6.9,17.8,318.0,73.5,56.9,2.8,1.3,5.9,476.0,150.0,190.0,137.0,2021-08-20,72.5,2998.0,666.0,1468.0,869.0
5,Selected day,5.4,1.3,1.5,2.1,0.0,33.8,0.0,29.0,85.7,5.4,84.9,60.3,21.8,2.4,0.0,9.2,87.0,0.0,44.5,9.3,6.6,10.5,615.0,63.0,154.0,399.0,2021-08-21,81.7,3613.0,729.0,1622.0,1268.0
6,Selected day,7.7,3.3,1.1,3.0,1.8,62.3,22.1,45.0,72.3,5.8,100.9,39.4,32.2,2.1,4.6,15.5,372.9,1.9,52.9,6.5,2.5,9.5,889.0,268.0,302.0,320.0,2021-08-23,97.2,4502.0,997.0,1924.0,1588.0
7,Selected day,4.6,0.7,1.5,2.2,1.0,36.7,7.8,28.0,76.3,6.1,72.6,43.7,20.4,1.1,2.9,13.8,219.2,0.0,30.2,5.3,3.2,8.0,614.0,100.0,303.0,212.0,2021-08-24,111.0,5116.0,1097.0,2227.0,1800.0
8,Selected day,6.4,2.0,0.9,3.3,0.0,73.4,0.0,36.0,49.0,5.6,48.9,24.0,27.7,0.6,0.0,8.8,218.7,0.0,25.2,5.6,2.7,7.2,390.0,77.0,218.0,96.0,2021-08-25,119.8,5506.0,1174.0,2445.0,1896.0
9,Selected day,6.4,1.6,1.2,3.4,0.0,95.6,0.0,43.0,45.0,6.7,55.2,33.8,27.2,0.8,0.0,10.4,439.0,0.0,34.5,5.3,3.3,7.7,452.0,81.0,203.0,169.0,2021-08-26,130.2,5958.0,1255.0,2648.0,2065.0
10,Selected day,6.3,2.2,1.2,2.5,0.7,47.8,13.1,35.0,73.3,5.5,74.8,39.2,24.8,1.3,1.8,12.7,261.4,0.0,51.9,5.9,3.1,8.6,683.0,157.0,306.0,221.0,2021-08-27,142.89999999999998,6641.0,1412.0,2954.0,2286.0
11,Selected day,5.9,1.9,1.3,2.4,0.0,46.6,0.0,30.0,64.4,5.1,69.6,44.0,23.3,1.3,0.0,10.7,272.8,0.0,56.4,6.5,4.1,9.0,580.0,61.0,255.0,265.0,2021-08-31,153.59999999999997,7221.0,1473.0,3209.0,2551.0
12,Selected day,6.0,2.4,0.3,3.1,0.0,78.0,0.0,32.0,41.0,5.3,24.1,9.4,24.0,0.4,0.0,5.6,146.0,0.0,23.5,4.3,1.7,8.4,128.0,16.0,55.0,58.0,2021-09-01,159.19999999999996,7349.0,1489.0,3264.0,2609.0
13,Selected day,5.6,1.4,1.2,2.7,3.2,58.8,33.3,33.0,56.2,5.9,55.5,34.8,23.1,0.9,4.8,15.7,534.0,53.8,47.8,3.5,2.2,8.0,424.0,58.0,222.0,145.0,2021-09-02,174.89999999999995,7773.0,1547.0,3486.0,2754.0
